id,title,category,mizan_classification,source_note,url,download_status,markdown_path,docx_path,raw_html_path
syrian_lawyer_15699,نص و نموذج عقد مقايضة عقارين,مقايضة,عقود واردة على الملكية > مقايضة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d8%b5-%d9%88-%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d9%85%d9%82%d8%a7%d9%8a%d8%b6%d8%a9-%d8%b9%d9%82%d8%a7%d8%b1%d9%8a%d9%86/,downloaded,content/legal_templates/contracts/markdown/نص_و_نموذج_عقد_مقايضة_عقارين.md,content/legal_templates/contracts/docx/نص_و_نموذج_عقد_مقايضة_عقارين.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_15699.html
syrian_lawyer_15705,نص و صيغة عقد مقايضة عقار بسيارة,مقايضة,عقود واردة على الملكية > مقايضة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d8%b5-%d9%88-%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d9%85%d9%82%d8%a7%d9%8a%d8%b6%d8%a9-%d8%b9%d9%82%d8%a7%d8%b1-%d8%a8%d8%b3%d9%8a%d8%a7%d8%b1%d8%a9/,downloaded,content/legal_templates/contracts/markdown/نص_و_صيغة_عقد_مقايضة_عقار_بسيارة.md,content/legal_templates/contracts/docx/نص_و_صيغة_عقد_مقايضة_عقار_بسيارة.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_15705.html
syrian_lawyer_14694,نص عقد بيع حصة في تركة مفصلة المشتملات,بيع,عقود واردة على الملكية > بيع حصة / تركة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d8%b5-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%ad%d8%b5%d8%a9-%d9%81%d9%8a-%d8%aa%d8%b1%d9%83%d8%a9-%d9%85%d9%81%d8%b5%d9%84%d8%a9-%d8%a7%d9%84%d9%85%d8%b4%d8%aa%d9%85%d9%84%d8%a7%d8%aa/,downloaded,content/legal_templates/contracts/markdown/نص_عقد_بيع_حصة_في_تركة_مفصلة_المشتملات.md,content/legal_templates/contracts/docx/نص_عقد_بيع_حصة_في_تركة_مفصلة_المشتملات.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_14694.html
syrian_lawyer_14692,صيغة عقد بيع حصة في تركة دون تفصيل مشتملاتها,بيع,عقود واردة على الملكية > بيع حصة / تركة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%ad%d8%b5%d8%a9-%d9%81%d9%8a-%d8%aa%d8%b1%d9%83%d8%a9-%d8%af%d9%88%d9%86-%d8%aa%d9%81%d8%b5%d9%8a%d9%84-%d9%85%d8%b4%d8%aa%d9%85%d9%84/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_بيع_حصة_في_تركة_دون_تفصيل_مشتملاتها.md,content/legal_templates/contracts/docx/صيغة_عقد_بيع_حصة_في_تركة_دون_تفصيل_مشتملاتها.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_14692.html
syrian_lawyer_14698,صيغة ونص عقد بيع دين أو حق متنازع فيه قضائية,بيع,عقود واردة على الملكية > بيع حق / دين,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d9%88%d9%86%d8%b5-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%af%d9%8a%d9%86-%d8%a3%d9%88-%d8%ad%d9%82-%d9%85%d8%aa%d9%86%d8%a7%d8%b2%d8%b9-%d9%81%d9%8a%d9%87-%d9%82%d8%b6/,downloaded,content/legal_templates/contracts/markdown/صيغة_ونص_عقد_بيع_دين_أو_حق_متنازع_فيه_قضائية.md,content/legal_templates/contracts/docx/صيغة_ونص_عقد_بيع_دين_أو_حق_متنازع_فيه_قضائية.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_14698.html
syrian_lawyer_11472,نص ونموذج وصيغة عقد بيع علامة فارقة تجارية أو صناعية,بيع,عقود تجارية > بيع علامة تجارية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%b9%d9%84%d8%a7%d9%85%d8%a9-%d9%81%d8%a7%d8%b1%d9%82%d8%a9-%d8%aa%d8%ac%d8%a7%d8%b1%d9%8a%d8%a9-%d8%a3%d9%88-%d8%b5%d9%86%d8%a7%d8%b9%d9%8a%d8%a9/,downloaded,content/legal_templates/contracts/markdown/نص_ونموذج_وصيغة_عقد_بيع_علامة_فارقة_تجارية_أو_صناعية.md,content/legal_templates/contracts/docx/نص_ونموذج_وصيغة_عقد_بيع_علامة_فارقة_تجارية_أو_صناعية.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_11472.html
syrian_lawyer_11437,نموذج و صيغة عقد بيع رسم أو نموذج صناعي,بيع,عقود تجارية > بيع نموذج صناعي,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%b1%d8%b3%d9%85-%d8%a3%d9%88-%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b5%d9%86%d8%a7%d8%b9%d9%8a/,downloaded,content/legal_templates/contracts/markdown/نموذج_و_صيغة_عقد_بيع_رسم_أو_نموذج_صناعي.md,content/legal_templates/contracts/docx/نموذج_و_صيغة_عقد_بيع_رسم_أو_نموذج_صناعي.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_11437.html
syrian_lawyer_11475,صيغة و نموذج عقد بيع استثمار شهادة اختراع,بيع,عقود تجارية > استثمار / ملكية فكرية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d9%88%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%b9%d9%82%d8%af-%d8%a8%d9%8a%d8%b9-%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1-%d8%b4%d9%87%d8%a7%d8%af%d8%a9-%d8%a7%d8%ae%d8%aa%d8%b1/,downloaded,content/legal_templates/contracts/markdown/صيغة_و_نموذج_عقد_بيع_استثمار_شهادة_اختراع.md,content/legal_templates/contracts/docx/صيغة_و_نموذج_عقد_بيع_استثمار_شهادة_اختراع.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_11475.html
syrian_lawyer_2210,صيغة عقد ايجار منقولات ( اثاث وفرش وتجهيزات ),إيجار,عقود واردة على الانتفاع > إيجار منقول,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d9%85%d9%86%d9%82%d9%88%d9%84%d8%a7%d8%aa-%d8%a7%d8%ab%d8%a7%d8%ab-%d9%88%d9%81%d8%b1%d8%b4-%d9%88%d8%aa%d8%ac%d9%87%d9%8a/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_ايجار_منقولات_(_اثاث_وفرش_وتجهيزات_).md,content/legal_templates/contracts/docx/صيغة_عقد_ايجار_منقولات_(_اثاث_وفرش_وتجهيزات_).docx,content/legal_templates/contracts/raw_html/syrian_lawyer_2210.html
syrian_lawyer_2213,صيغة عقد ايجار واجهة بناء أوعمارة من أجل الاعلانات عليها,إيجار,عقود واردة على الانتفاع > إيجار / استغلال واجهة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d9%88%d8%a7%d8%ac%d9%87%d8%a9-%d8%a8%d9%86%d8%a7%d8%a1-%d8%a3%d9%88%d8%b9%d9%85%d8%a7%d8%b1%d8%a9-%d9%85%d9%86-%d8%a3%d8%ac/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_ايجار_واجهة_بناء_أوعمارة_من_أجل_الاعلانات_عليها.md,content/legal_templates/contracts/docx/صيغة_عقد_ايجار_واجهة_بناء_أوعمارة_من_أجل_الاعلانات_عليها.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_2213.html
syrian_lawyer_2208,صيغة عقد ايجار شقة  سكنية مفروشة مع نص مواد القانون,إيجار,عقود واردة على الانتفاع > إيجار سكني مفروش,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d8%b4%d9%82%d8%a9-%d8%b3%d9%83%d9%86%d9%8a%d8%a9-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d9%85%d8%b9-%d9%86%d8%b5-%d9%85/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_ايجار_شقة_سكنية_مفروشة_مع_نص_مواد_القانون.md,content/legal_templates/contracts/docx/صيغة_عقد_ايجار_شقة_سكنية_مفروشة_مع_نص_مواد_القانون.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_2208.html
syrian_lawyer_2193,صيغة عقد ايجار أرض زراعية مع النصوص القانونية,إيجار,عقود واردة على الانتفاع > إيجار أرض زراعية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d8%a3%d8%b1%d8%b6-%d8%b2%d8%b1%d8%a7%d8%b9%d9%8a%d8%a9/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_ايجار_أرض_زراعية_مع_النصوص_القانونية.md,content/legal_templates/contracts/docx/صيغة_عقد_ايجار_أرض_زراعية_مع_النصوص_القانونية.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_2193.html
syrian_lawyer_15860,صيغة عقد ايجار و استثمار فندق,إيجار,عقود واردة على الانتفاع > إيجار / استثمار فندق,نموذج منشور في نادي المحامي السوري - يحتاج تحقق من نسبته ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b9%d9%82%d8%af-%d8%a7%d9%8a%d8%ac%d8%a7%d8%b1-%d9%81%d9%86%d8%af%d9%82/,downloaded,content/legal_templates/contracts/markdown/صيغة_عقد_ايجار_و_استثمار_فندق.md,content/legal_templates/contracts/docx/صيغة_عقد_ايجار_و_استثمار_فندق.docx,content/legal_templates/contracts/raw_html/syrian_lawyer_15860.html
